source,stratum,era,key,surname,cand_ini,cand_years,elected,score,hit_name,hit_year,hit_place,derived_ini,female_flag,first_initial_match,verdict,reasoning
openarch,famous_mp,pr_1918_1937,sc:bakker|ja,Bakker,JA,1918-1929,True,0.507,Albertus Arend Bakker,1873.0,Genemuiden,AA,False,False,FALSE,"initials mismatch (JA vs AA), surname-only coincidence"
openarch,famous_mp,district_1848_1918,1382,Troelstra,PJ,1894-1917,True,0.531,Pieter Troelstra,1860.0,Leeuwarden,P,False,True,TRUE,"Pieter Jelles Troelstra, famous SDAP leader b.1860 Leeuwarden -- exact historical match, partial initials due to record only capturing 'Pieter'"
openarch,famous_mp,district_1848_1918,658,van den Biesen,JJW,1866-1887,True,0.53,Joanna Josina Van Den Biesen,1836.0,Essene,JJ,True,True,FALSE,"gender mismatch: hit is female (Joanna Josina), candidate is a pre-1918 district MP (necessarily male)"
openarch,famous_mp,district_1848_1918,682,Kist,HJ,1881-1887,True,0.502,Harm Gerrit Kist,1836.0,Hasselt,HG,False,True,FALSE,"second initial mismatch (Harm Gerrit=HG vs candidate H.J.), likely different family member"
openarch,famous_mp,district_1848_1918,286,Verweij,SA,1852-1856,True,0.514,Steijntje Verweij,1813.0,Harmelen,S,True,True,FALSE,"gender mismatch: hit is female (Steijntje), candidate is pre-1918 district MP"
openarch,obscure_loser,pr_1918_1937,sc:polak|nj,Polak,NJ,1933-1933,False,0.502,Abraham Jacob Polak,1872.0,Den Helder,AJ,False,False,FALSE,"initials mismatch (NJ vs AJ), surname-only coincidence"
openarch,obscure_loser,district_1848_1918,1313,Cuypers,PJH,1897-1897,False,0.622,Gertruda Josephina Hubertina Cuypers,1862.0,Roermond,GJH,True,False,FALSE,gender mismatch (Gertruda) AND first-initial mismatch (P vs G)
openarch,obscure_loser,pr_1918_1937,sc:geertjes|hd,Geertjes,HD,1937-1937,False,0.529,Harmanna Geertjes,1881.0,Steenwijksmoer,H,True,True,FALSE,"hit is female (Harmanna), only first initial confirmed"
openarch,obscure_loser,pr_1918_1937,sc:wetzels|bl,Wetzels,BL,1937-1937,False,0.547,Baltazar Wetzels,1863.0,Heerlen,B,False,True,TRUE,"Baltazar is a rare/distinctive first name, first initial matches, plausible age (74 at 1937 candidacy)"
openarch,obscure_loser,pr_1918_1937,sc:baart|sp,Baart,SP,1918-1918,False,0.513,Celestina PetronElla Baart,1879.0,Hulst,CP,True,False,FALSE,"first-initial mismatch (S vs C), hit is also female (Celestina)"
openarch,common_surname,district_1848_1918,1455,Smit,JW,1901-1913,False,0.511,Aafke Wytzes Smit,1843.0,Schoterland,AW,True,False,FALSE,gender mismatch (Aafke) AND first-initial mismatch (J vs A)
